consola,genero,lanzamiento,titulo,upc
PS4,Aventura,18/09/2015,DISNEY INFINITY 3.0 SPECIAL EDITION STARTER PACK,712725027421-1-00000-0
PS3,Aventura,18/09/2015,DISNEY INFINITY 3.0 SPECIAL EDITION STARTER PACK,712725027650-1-00000-1
XONE,Aventura,18/09/2015,DISNEY INFINITY 3.0 STARTER PACK,712725027568-1-00000-0
360,Aventura,18/09/2015,DISNEY INFINITY 3.0 STARTER PACK,712725027575-1-00000-0
WIIU,Aventura,18/09/2015,DISNEY INFINITY 3.0 STARTER PACK,712725027612-1-00000-0
PS4,Aventura,15/09/2015,DISNEY INFINITY 3.0 STARTER PACK,712725027582-1-00000-1
PS3,Aventura,18/09/2015,DISNEY INFINITY 3.0 STARTER PACK,712725027599-1-00000-0
XONE,Deportes,22/09/2015,FIFA 16,014633370263-1-00001-0
PS4,Deportes,22/09/2015,FIFA 16,014633370256-1-00003-3
PS3,Deportes,22/09/2015,FIFA 16,014633370201-1-00000-1
360,Deportes,22/09/2015,FIFA 16,014633370249-1-00001-0
360,Deportes,22/09/2015,FIFA 16 DELUXE EDITION,014633370287-0-00000-0
XONE,Deportes,22/09/2015,FIFA 16 DELUXE EDITION,014633735536-0-00000-0
PS4,Deportes,22/09/2015,FIFA 16 DELUXE EDITION,014633370294-1-00000-0
PS3,Deportes,22/09/2015,FIFA 16 DELUXE EDITION,014633735512-1-00000-1
3DS,Simulacion,25/09/2015,ANIMAL CROSSING HAPPY HOME DESIGNER SPECIAL EDITION,045496743420-1-00000-0
360,Aventura,27/09/2015,LEGO DIMENSIONS STARTER PACK,883929450404-1-00000-1
XONE,Aventura,27/09/2015,LEGO DIMENSIONS STARTER PACK,883929450374-1-00002-0
WIIU,Aventura,27/09/2015,LEGO DIMENSIONS STARTER PACK,883929450398-1-00000-0
PS4,Aventura,27/09/2015,LEGO DIMENSIONS STARTER PACK,883929450381-1-00000-0
PS3,Aventura,27/09/2015,LEGO DIMENSIONS STARTER PACK,883929450411-1-00001-0
PS4,Deportes,29/09/2015,NBA 2K16 MICHAEL JORDAN EDITION,710425476334-0-00000-0
XONE,Deportes,29/09/2015,NBA 2K16 MICHAEL JORDAN EDITION,710425496325-1-00000-0
PS3,Deportes,29/09/2015,NBA 2K16,710425476556-1-00000-1
360,Deportes,29/09/2015,NBA 2K16,710425496561-1-00001-1
PS4,Deportes,29/09/2015,NBA 2K16,710425476570-1-00000-0
XONE,Deportes,29/09/2015,NBA 2K16,710425496592-1-00000-0
WIIU,Aventura,03/10/2015,SKYLANDERS SUPERCHARGERS DARK EDITION STARTER KIT,047875875692-1-00000-0
XONE,Aventura,03/10/2015,SKYLANDERS SUPERCHARGERS DARK EDITION STARTER KIT,047875875678-1-00000-0
360,Aventura,03/10/2015,SKYLANDERS SUPERCHARGERS DARK EDITION STARTER KIT,047875875661-1-00000-0
PS4,Aventura,03/10/2015,SKYLANDERS SUPERCHARGERS DARK EDITION STARTER KIT,047875875654-1-00000-0
WIIU,Aventura,03/10/2015,SKYLANDERS SUPERCHARGERS STARTER KIT,047875876231-1-00001-0
WII,Aventura,03/10/2015,SKYLANDERS SUPERCHARGERS STARTER KIT,047875876224-1-00001-0
XONE,Aventura,03/10/2015,SKYLANDERS SUPERCHARGERS STARTER KIT,047875876217-1-00001-2
360,Aventura,03/10/2015,SKYLANDERS SUPERCHARGERS STARTER KIT,047875876200-1-00000-0
PS4,Peleas,06/10/2015,SAINT SEIYA SOLDIERS SOUL,722674120401-1-00001-1
PS3,Peleas,06/10/2015,SAINT SEIYA SOLDIERS SOUL,722674111911-1-00000-0
3DS,Otros,09/10/2015,CHIBI ROBO ZIP LASH AMIIBO BUNDLE,045496743246-1-00001-1
PS4,Aventura,09/10/2015,UNCHARTED THE NATHAN DRAKE COLLECTION,711719501381-1-00035-11
WIIU,Aventura,16/10/2015,YOSHIS WOOLLY WORLD AMIIBO BUNDLE,045496903725-0-00000-0
WIIU,Aventura,16/10/2015,YOSHIS WOOLLY WORLD,045496903534-1-00000-0
PS4,Musical,20/10/2015,JUST DANCE 2016,887256014582-1-00000-0
WIIU,Musical,20/10/2015,JUST DANCE 2016,887256014605-1-00000-0
XONE,Musical,20/10/2015,JUST DANCE 2016,887256014629-1-00000-1
WII,Musical,20/10/2015,JUST DANCE 2016,887256014599-1-00000-0
360,Musical,20/10/2015,JUST DANCE 2016,887256014612-0-00000-0
PS4,Musical,20/10/2015,JUST DANCE 2016 GOLD EDITION,887256014476-1-00000-1
XONE,Musical,20/10/2015,JUST DANCE 2016 GOLD EDITION,887256014483-1-00000-0
XONE,Disparos,20/10/2015,HALO 5 GUARDIANS LIMITED COLLECTORS EDITION,885370936971-1-00000-0
XONE,Musical,20/10/2015,GUITAR HERO LIVE,047875874237-0-00000-0
360,Musical,20/10/2015,GUITAR HERO LIVE,047875874220-1-00003-8
PS4,Musical,20/10/2015,GUITAR HERO LIVE,047875874213-1-00002-0
PS3,Musical,20/10/2015,GUITAR HERO LIVE,047875874206-1-00001-6
WIIU,Musical,20/10/2015,GUITAR HERO LIVE,047875874244-1-00002-5
PS4,Rol/Estrategia/Destreza,20/10/2015,TALES OF ZESTIRIA,722674120548-1-00001-0
