consola,genero,lanzamiento,titulo,upc
NDS,Simulacion,01/09/2007,ARCTIC TALE,5060034555377-0-00000-0
PSP,Rol/Estrategia/Destreza,27/03/2009,BETA BLOC,5060125481905-0-00000-0
PSP,Accion,27/03/2009,WARRIORS OROCHI,5060073304714-0-00000-0
NDS,Disparos,27/03/2009,DEAD AND FURIOUS,8430613000883-0-00000-0
PSP,Rol/Estrategia/Destreza,27/03/2009,DRAGONEERS ARIA,5060073304356-0-00000-0
NDS,Aventura,27/03/2009,GEORGE OF THE JUNGLE &amp; THE SEARCH FOR THE SECRET,5060050945794-0-00000-0
PSP,Vehiculos,27/03/2009,XYANIDE RESURRECTION,8717545401194-0-00000-0
NDS,Aventura,27/03/2009,BANGAI-O SPIRITS,5060125482933-0-00000-0
NDS,Rol/Estrategia/Destreza,27/03/2009,PREY THE STARS,5060073303519-0-00000-0
PSP,Musical,27/03/2009,GITAROO MAN LIVES,5060073302710-0-00000-0
WII,Aventura,27/03/2009,PIKMIN,045496901431-0-00000-0
WII,Deportes,NO CONFIRMADO,MARIO POWER TENNIS,045496901424-0-00000-0
PSP,Peleas,27/03/2009,DRAGON BALL EVOLUTION,722674150347-0-00000-0
PSP,Rol/Estrategia/Destreza,27/03/2009,PHANTASY STAR PORTABLE,010086660265-0-00000-0
PS3,Vehiculos,NO CONFIRMADO,TOM CLANCYS HAWX HIGH ALTITUDE WARFARE,008888344148-0-00000-0
360,Vehiculos,NO CONFIRMADO,TOM CLANCYS HAWX HIGH ALTITUDE WARFARE,008888524144-0-00000-0
WII,Aventura,NO CONFIRMADO,SONIC AND THE BLACK KNIGHT,010086650211-0-00000-0
PSP,Rol/Estrategia/Destreza,27/03/2009,LOCO ROCO 2,711719873129-0-00000-0
WII,Musical,27/03/2009,ROCK BAND 2 SPECIAL EDITION,014633191592-0-00000-0
360,Vehiculos,27/03/2009,RACE PRO,742725277137-0-00000-0
WII,Musical,09/10/2007,ROCK BAND 2 SOFTWARE ONLY,014633191134-0-00000-0
360,Musical,08/05/2009,GUITAR HERO: METALLICA,047875957374-0-00000-0
PS3,Musical,14/05/2009,GUITAR HERO METALLICA,047875956957-0-00000-0
360,Aventura,27/03/2009,SONIC ULTIMATE GENESIS COLLECTION,010086680348-0-00000-0
PS3,Aventura,27/03/2009,SONIC ULTIMATE GENESIS COLLECTION,010086690279-0-00000-0
WII,Accion,NO CONFIRMADO,TENCHU SHADOW ASSASSIN,008888174905-0-00000-0
360,Accion,NO CONFIRMADO,AFRO SAMURAI,722674210157-0-00000-0
360,Deportes,01/01/2006,SKATE 2,014633155907-0-00000-0
PS3,Deportes,NO CONFIRMADO,SKATE 2,014633154528-0-00000-0
NDS,Rol/Estrategia/Destreza,27/03/2009,FIRE EMBLEM: SHADOW DRAGON,045496740047-0-00000-0
PS3,Musical,17/02/2009,DISNEY SING IT WITH MICROPHONE,712725016036-0-00000-0
PS3,Accion,18/11/2008,ALONE IN THE DARK INFERNO,742725274785-0-00000-0
PS2,Musical,01/01/2006,DISNEY SING IT W/MIC,712725015992-0-00000-0
360,Musical,27/03/2009,DISNEY SING IT! BUNDLE,712725016050-0-00000-0
360,Accion,01/01/2006,LORD OF THE RINGS CONQUEST-360,014633156072-0-00000-0
NDS,Accion,27/03/2009,THE LORD OF THE RINGS CONQUEST,014633190953-0-00000-0
PS3,Accion,NO CONFIRMADO,THE LORD OF THE RINGS CONQUEST,014633154696-0-00000-0
NDS,Simulacion,27/03/2009,PERSONAL TRAINER MATH,045496740139-0-00000-0
WII,Vehiculos,27/03/2009,BAJA 1000,047875756793-0-00000-0
360,Vehiculos,01/01/2006,BAJA 1000,047875756779-0-00000-0
NDS,Deportes,27/03/2009,SKATE IT!,014633157680-0-00000-0
360,Musical,01/01/2006,ROCK BAND 2 SOFTWARE ONLY,014633191141-0-00000-0
PS3,Musical,NO CONFIRMADO,ROCK BAND 2 SOFTWARE ONLY,014633191110-0-00000-0
NDS,Musical,27/03/2009,ULTIMATE BAND,712725005115-0-00000-0
WII,Musical,27/03/2009,ULTIMATE BAND,712725003968-0-00000-0
NDS,Aventura,27/03/2009,TRANSFORMERS THE ANIMATED SERIES,047875834699-0-00000-0
WII,Deportes,27/03/2009,SKATE IT,014633158267-0-00000-0
PS3,Aventura,18/11/2008,BOLT,712725005399-0-00000-0
360,Aventura,NO CONFIRMADO,BOLT,712725005382-0-00000-0
PS2,Aventura,18/11/2008,BOLT,712725005375-0-00000-0
WII,Aventura,NO CONFIRMADO,BOLT,712725005221-0-00000-0
NDS,Aventura,18/11/2008,BOLT,712725005207-0-00000-0
360,Rol/Estrategia/Destreza,27/03/2009,HALO WARS LIMITED EDITION,882224720670-0-00000-0
360,Rol/Estrategia/Destreza,NO CONFIRMADO,HALO WARS,882224622769-1-00005-0
PS3,Disparos,NO CONFIRMADO,KILLZONE 2,711719811626-1-00000-0
360,Disparos,01/01/2006,RESIDENT EVIL 5 COLLECTORS EDITION,013388330133-0-00000-0
PS3,Disparos,27/03/2009,RESIDENT EVIL 5 COLLECTOR EDITION,013388340125-0-00000-0
360,Disparos,NO CONFIRMADO,RESIDENT EVIL 5,013388330102-1-00000-0
PS3,Disparos,NO CONFIRMADO,RESIDENT EVIL 5,013388340088-1-00000-0
360,Musical,27/03/2009,DISNEY'S HIGH SCHOOL MUSICAL 3 DANCE BUNDLE,712725016098-0-00000-0
PS2,Musical,01/01/2006,D. HIGH SCHOOL MUSICAL 3B,712725016074-0-00000-0
PS2,Musical,27/03/2009,HIGH SCHOOL MUSICAL 3 SENIOR YEAR,712725004705-0-00000-0
NDS,Rol/Estrategia/Destreza,27/03/2009,MASTER OF MONSTER LAIR,730865400225-0-00000-0
360,Peleas,NO CONFIRMADO,STREET FIGHTER IV,013388330119-0-00000-0
PS3,Peleas,27/03/2009,STREET FIGHTER 4,013388340095-0-00000-0
NDS,Aventura,27/03/2009,THE CHEETAH GIRLS,712725004637-0-00000-0
WII,Rol/Estrategia/Destreza,27/03/2009,NANCY DREW THE WHITE,010086650181-0-00000-0
360,Accion,01/01/2006,DESTROY ALL HUMANS PATH,752919550298-0-00000-0
360,Deportes,27/03/2009,NHL 2K9,710425394744-0-00000-0
PS3,Deportes,NO CONFIRMADO,NHL 2K9,710425374739-0-00000-0
PS3,Rol/Estrategia/Destreza,27/03/2009,DISGAEA 3 ABSENCE OF JUSTICE,857823001314-0-00000-0
NDS,Musical,27/03/2009,GUITAR HERO ON TOUR SOFTWARE,047875955899-0-00000-0
360,Rol/Estrategia/Destreza,27/03/2009,THE LAST REMNANT,662248908144-0-00000-0
NDS,Rol/Estrategia/Destreza,27/03/2009,CHRONO TRIGGER DS,662248908243-0-00000-0
NDS,Musical,27/03/2009,ROCK REVOLUTION,083717241492-0-00000-0
360,Musical,27/03/2009,ROCK BAND TRACK PACK: AC/DC LIVE,014633191691-0-00000-0
PS3,Musical,NO CONFIRMADO,ROCK BAND TRACK PACK AC/DC,014633191660-0-00000-0
WII,Musical,NO CONFIRMADO,HASBRO FAMILY GAME NIGHT,014633190892-0-00000-0
PS3,Rol/Estrategia/Destreza,27/03/2009,TOM CLANCYS END WAR LIMITED EDITION,008888394068-0-00000-0
NDS,Otros,01/01/2006,LITTLEST PET SHOP STYLUS,708056573324-0-00000-0
NDS,Otros,01/01/2006,LITTLEST PET SHOP S.K,708056573560-0-00000-0
360,Rol/Estrategia/Destreza,01/01/2006,END WAR LIMITED EDITION,008888594062-0-00000-0
PS2,Musical,01/01/2006,THINK FAST BUNDLE W/4 CTR,712725005757-0-00000-0
360,Accion,23/03/2009,TOMB RAIDER: UNDERWORLD,788687200585-0-00000-0
WII,Accion,23/03/2009,TOMB RAIDER UNDERWORLD,788687300131-0-00000-0
PS3,Accion,NO CONFIRMADO,TOMB RAIDER UNDERWORLD,788687500777-0-00000-0
PS3,Vehiculos,NO CONFIRMADO,MOTORSTORM PACIFIC RIFT,711719815525-0-00000-0
PS3,Musical,01/01/2006,ROCK BAND B C/SOFTWARE 2,7506127506935-0-00000-0
360,Musical,01/01/2006,ROCK BAND B C/SOFTWARE 2,7506127506928-0-00000-0
PS2,Musical,01/01/2006,GUITAR HERO WORLD TOUR B,047875954939-0-00000-0
WII,Deportes,NO CONFIRMADO,FACEBRAKER K.O. PARTY,014633190465-0-00000-0
NDS,Accion,23/03/2009,PRINCE OF PERSIA THE FALLEN KING,008888164319-0-00000-0
PS3,Accion,02/12/2008,PRINCE OF PERSIA COLLECTORS EDITION,008888164357-0-00000-0
360,Accion,23/03/2009,PRINCE OF PERSIA LIMITED EDITION,008888174349-0-00000-0
NDS,Simulacion,23/03/2009,COOKING NAVI SPANISH VER,045496467258-0-00000-0
WII,Rol/Estrategia/Destreza,23/03/2009,ANIMAL CROSSING CITY FOLK,045496901363-1-00000-0
360,Musical,23/03/2009,YOU ARE IN THE MOVIES,882224763851-0-00000-0
360,Musical,01/01/2006,LIPS,882224733908-0-00000-0
WII,Aventura,23/03/2009,KUNG FU PANDA LEGENDARY WARRIORS,047875834675-0-00000-0
NDS,Aventura,23/03/2009,KUNG FU PANDA LEGENDARY WARRIORS,047875834651-0-00000-0
WII,Aventura,NO CONFIRMADO,MADAGASCAR 2,047875834156-0-00000-0
PS3,Aventura,23/03/2009,MADAGASCAR 2 ESCAPE 2 AFRICA,047875834194-0-00000-0
PS2,Accion,23/03/2009,QUANTUM OF SOLACE 007,047875834293-0-00000-0
NDS,Accion,23/03/2009,JAMES BOND 007 QUANTUM OF SOLACE,047875834354-0-00000-0
WII,Accion,23/03/2008,JAMES BOND 007 QUANTUM OF SOLACE,047875834378-0-00000-0
PS3,Accion,23/03/2009,QUANTUM OF SOLACE 007,047875834316-0-00000-0
WII,Musical,23/03/2009,GUITAR HERO WORLD TOUR BUNDLE,047875955257-0-00000-0
PS3,Peleas,NO CONFIRMADO,NARUTO ULTIMATE NINJA STORM,722674110129-0-00000-0
360,Disparos,NO CONFIRMADO,COMMAND AND CONQUER 3: TIBERIUM WARS,014633190410-0-00000-0
360,Vehiculos,NO CONFIRMADO,NEED FOR SPEED UNDERCOVER,014633155914-0-00000-0
WII,Disparos,24/03/2009,NERF N-STRIKE BUNDLE,014633167986-0-00000-0
PS3,Vehiculos,NO CONFIRMADO,NEED FOR SPEED UNDERCOVER,014633154535-0-00000-0
360,Disparos,24/03/2009,LEFT 4 DEAD,014633098563-0-00000-0
PSP,Aventura,24/03/2009,CRASH BANDICOOT MIND OVER MUTANT,020626728041-0-00000-0
WII,Vehiculos,NO CONFIRMADO,NEED FOR SPEED: UNDERCOVER,014633155372-0-00000-0
PS2,Vehiculos,01/01/2006,NEED FOR SPEED:UNDERCOVER,014633158007-0-00000-0
PSP,Vehiculos,24/03/2009,NEED FOR SPEED: UNDERCOVER,014633155129-0-00000-0
NDS,Peleas,24/03/2009,DRAGON BALL ORIGINS,742725277144-0-00000-0
NDS,Simulacion,01/01/2006,LITTLEST PET SHOP: WINTER,014633191042-0-00000-0
NDS,Simulacion,24/03/2009,LITTLEST PET SHOP JUNGLE,014633191035-0-00000-0
NDS,Vehiculos,24/03/2009,NEED FOR SPEED UNDERCOVER,014633157697-0-00000-0
NDS,Musical,24/03/2009,GUITAR HERO: ON TOUR DECADES,047875955134-0-00000-0
360,Musical,01/01/2006,SCENE IT,882224740333-0-00000-0
360,Aventura,NO CONFIRMADO,BANJO KAZOOIE: NUTS AND BOLTS,882224747424-0-00000-0
NDS,Rol/Estrategia/Destreza,10/11/2008,POKEMON RANGER: SHADOWS OF ALMIA,045496739904-0-00000-0
360,Disparos,11/11/2008,CALL OF DUTY WORLD AT WAR,047875832817-0-00000-0
360,Aventura,24/03/2009,NARUTO THE BROKEN BOND,008888524328-0-00000-0
PS3,Disparos,01/01/2006,CALL OF DUTY 5 WORLD AT WAR,047875840614-0-00000-0
WII,Disparos,24/03/2009,CALL OF DUTY 5: WORLD AT WAR,047875834392-0-00000-0
PS2,Disparos,01/01/2006,CALL OF DUTY 5 WAW-PS2,047875834415-0-00000-0
NDS,Aventura,24/03/2009,DORA THE EXPLORER,710425354595-0-00000-0
WII,Deportes,NO CONFIRMADO,SHAUN WHITE SNOWBOARDING,008888174301-0-00000-0
WII,Aventura,24/03/2009,RAYMAN RAVING RABBIDS TV PARTY,008888174950-0-00000-0
NDS,Aventura,24/03/2009,RAYMAN RAVING RABBIDS 3,008888164951-0-00000-0
PSP,Rol/Estrategia/Destreza,24/03/2009,STAR OCEAN FIRST DEPARTURE,662248908199-0-00000-0
PS2,Musical,24/03/2009,GUITAR HERO WORLD TOUR SUPER BUNDLE,047875954854-0-00000-0
360,Accion,NO CONFIRMADO,PRINCE OF PERSIA,008888524311-0-00000-0
PS3,Rol/Estrategia/Destreza,25/10/2008,LITTLE BIG PLANET.,711719819929-0-00000-0
WII,Musical,24/03/2009,GUITAR HERO WORLD TOUR SUPER BUNDLE,047875955479-0-00000-0
WII,Musical,01/01/2006,GUITAR HERO WORLD TOUR B,047875954557-0-00000-0
PS3,Rol/Estrategia/Destreza,NO CONFIRMADO,TOM CLANCYS END WAR,008888344063-0-00000-0
WII,Simulacion,NO CONFIRMADO,MYSIMS KINGDOM,014633155501-0-00000-0
WII,Peleas,NO CONFIRMADO,WWE SMACKDOWN VS RAW 2009,785138301648-0-00000-0
PSP,Rol/Estrategia/Destreza,24/03/2009,TOM CANCYS END WAR,008888334064-0-00000-0
PSP,Peleas,24/03/2009,WWE SMACKDOWN VS RAW 2009,752919480564-0-00000-0
NDS,Peleas,25/03/2009,WWE SMACKDOWN VS RAW 09,785138361826-0-00000-0
PS3,Rol/Estrategia/Destreza,01/01/2006,VALKYRIA CHRONICLES,010086690200-0-00000-0
PCS,Rol/Estrategia/Destreza,25/03/2009,WORLD OF WARCRAFT: WRATH OF THE LICH KING COLLECTORS EDITION,020626728201-0-00000-0
WII,Aventura,NO CONFIRMADO,BEN 10 ALIEN FORCE,879278340039-0-00000-0
NDS,Aventura,25/03/2009,BEN 10 ALIEN FORCE,879278320116-0-00000-0
PS2,Aventura,01/01/2006,BEN 10 ALIEN FORCE,879278120051-0-00000-0
PSP,Aventura,25/03/2009,BEN 10 ALIEN FORCE,879278110083-0-00000-0
WII,Aventura,25/03/2009,SHREKS CARNIVAL CRAZE,047875757073-0-00000-0
NDS,Aventura,25/03/2009,SHREK CARNIVAL CRAZE,047875757097-0-00000-0
PS3,Musical,25/03/2009,GUITAR HERO WORLD TOUR SUPER BUNDLE,047875954991-0-00000-0
360,Musical,25/03/2009,GUITAR HERO WORLD TOUR SUPER BUNDLE,047875955196-0-00000-0
PS3,Musical,25/03/2009,GUITAR HERO WORLD TOUR GUITAR BUNDLE,047875954519-0-00000-0
360,Musical,01/01/2006,GUITAR HERO WORLD TOUR B,047875955233-0-00000-0
360,Musical,01/01/2006,DANCE DANCE REVOLUTION U3,083717250890-0-00000-0
PS3,Rol/Estrategia/Destreza,NO CONFIRMADO,FALLOUT 3,093155126701-0-00000-0
PS3,Disparos,NO CONFIRMADO,FRACTURE,023272956387-0-00000-0
360,Disparos,NO CONFIRMADO,FRACTURE,023272956769-0-00000-0
PS3,Accion,NO CONFIRMADO,SPIDERMAN WEB OF SHADOWS,047875835078-0-00000-0
WII,Accion,25/03/2009,SPIDER MAN WEB OF SHADOW,047875835054-0-00000-0
PSP,Accion,25/03/2009,SPIDER MAN WEB OF SHADOW,047875885092-0-00000-0
NDS,Accion,25/03/2009,CASTLEVANIA ORDER OF ECCLESIA,083717241553-0-00000-0
NDS,Accion,25/03/2009,SPIDERMAN WEB OF SHADOWS,047875832954-0-00000-0
WII,Musical,01/01/2006,GUITAR HERO III L.O.R.BUN,047875951259-0-00000-0
WII,Peleas,26/03/2009,NARUTO CLASH OF NINJA REVOLUTION 2,053941704032-0-00000-0
360,Aventura,26/03/2009,SPIDER-MAN: WEB OF SHADOWS,047875834071-0-00000-0
360,Vehiculos,NO CONFIRMADO,MIDNIGHT CLUB LOS ANGELES,710425392603-0-00000-0
PS3,Vehiculos,NO CONFIRMADO,MIDNIGHT CLUB LOS ANGELES,710425372599-0-00000-0
PSP,Vehiculos,20/03/2009,MIDNIGHT CLUB LOS ANGELES REMIX,710425334368-0-00000-0
NDS,Aventura,20/03/2009,DISNEY FAIRIES: TINKER BELL,712725004880-0-00000-0
WII,Rol/Estrategia/Destreza,21/10/2008,THINK FAST,712725005733-0-00000-0
WII,Musical,20/03/2009,DISNEY HIGH SCHOOL MUSICAL 3,712725004736-0-00000-0
NDS,Musical,20/03/2009,DISNEY HIGH SCHOOL MUSICAL 3,712725004620-0-00000-0
360,Disparos,NO CONFIRMADO,DEAD SPACE,014633155648-0-00000-0
PS3,Disparos,NO CONFIRMADO,DEAD SPACE,014633154245-0-00000-0
PS3,Disparos,NO CONFIRMADO,SOCOM CONFRONTATION,711719818328-0-00000-0
PS3,Peleas,20/03/2009,SMACKDOWN VS RAW 09,752919990667-0-00000-0
WII,Musical,20/10/2008,WII MUSIC,045496901301-0-00000-0
NDS,Aventura,20/03/2009,NARUTO PATH OF NINJA 2,053941703059-0-00000-0
PS3,Accion,21/10/2008,BIOSHOCK,710425279645-0-00000-0
WII,Aventura,08/05/2009,BRATZ GIRLS REALLY ROCK,785138301587-0-00000-0
PS3,Accion,14/10/2008,GOLDEN AXE BEAST RIDER,010086690064-0-00000-0
PS2,Aventura,20/03/2009,AVATAR INTO THE INFERNO,752919461402-0-00000-0
360,Disparos,11/11/2008,CALL OF DUTY WORLD AT WAR COLLECTORS EDITION,047875834835-0-00000-0
PS3,Aventura,NO CONFIRMADO,SONIC UNLEASHED,010086690217-0-00000-0
360,Aventura,20/03/2009,SONIC UNLEASHED,010086680294-0-00000-0
PCS,Rol/Estrategia/Destreza,20/03/2009,WORLD OF WARCRAFT: WRATH OF THE LICH KING,020626728195-1-00000-0
PS3,Accion,NO CONFIRMADO,MIRRORS EDGE,014633154740-1-00000-2
360,Accion,NO CONFIRMADO,MIRRORS EDGE,014633156126-1-00000-2
360,Deportes,20/03/2009,PRO EVOLUTION SOCCER 2009,083717300755-0-00000-0
PS3,Deportes,NO CONFIRMADO,PRO EVOLUTION SOCCER 09,083717201816-0-00000-0
PS3,Peleas,NO CONFIRMADO,WWE SMACKDOWN VS RAW 09,752919990506-0-00000-0
360,Peleas,20/03/2009,WWE SMACKDOWN VS RAW 09,752919550496-0-00000-0
PS2,Aventura,01/01/2006,SONIC UNLEASHED,010086631227-0-00000-0
PS2,Deportes,01/01/2006,PRO EVOLUTION SOCCER 2009,083717201823-0-00000-0
PSP,Deportes,20/03/2009,PRO EVOLUTION SOCCER 2009,083717260479-0-00000-0
NDS,Rol/Estrategia/Destreza,20/03/2009,SPECTROBES BEYOND THE PORTAL,712725004644-0-00000-0
WII,Deportes,20/03/2009,NBA LIVE 09 ALL PLAY,014633158212-0-00000-0
PS3,Deportes,NO CONFIRMADO,NBA LIVE 09,014633154467-0-00000-0
PSP,Deportes,20/03/2009,NBA LIVE 09,014633155082-0-00000-0
360,Deportes,01/01/2006,NBA LIVE 09,014633155846-0-00000-0
360,Aventura,NO CONFIRMADO,LEGO BATMAN,883929020737-1-00008-0
WII,Aventura,NO CONFIRMADO,LEGO BATMAN,883929020720-0-00000-0
PS2,Aventura,01/01/2006,LEGO BATMAN,883929020713-0-00000-0
PS3,Aventura,NO CONFIRMADO,LEGO BATMAN,883929020706-0-00000-0
NDS,Aventura,23/09/2008,LEGO BATMAN,883929020690-0-00000-0
PSP,Aventura,20/03/2009,LEGO BATMAN,883929020676-0-00000-0
360,Accion,NO CONFIRMADO,SAINTS ROW 2,752919550304-0-00000-0
PS3,Accion,20/03/2009,SAINTS ROW 2,752919990292-0-00000-0
PS3,Accion,NO CONFIRMADO,SILENT HILL HOMECOMING,083717201793-0-00000-0
360,Accion,NO CONFIRMADO,SILENT HILL HOMECOMING,083717300717-0-00000-0
NDS,Rol/Estrategia/Destreza,20/03/2009,SONIC CHRONICLES,010086670202-0-00000-0
360,Rol/Estrategia/Destreza,20/03/2009,ZOIDS ASSAULT,730865900022-0-00000-0
NDS,Rol/Estrategia/Destreza,20/03/2009,RHAPSODY A MUSICAL ADVENTURE,857823001451-0-00000-0
PSP,Rol/Estrategia/Destreza,20/03/2009,YGDRA UNION,730865600052-0-00000-0
PS3,Rol/Estrategia/Destreza,NO CONFIRMADO,OVERLORD RAISING HELL,767649402175-0-00000-0
PS3,Vehiculos,03/06/2008,GRID,767649402069-0-00000-0
360,Rol/Estrategia/Destreza,NO CONFIRMADO,SUPREME COMMANDER,618870117539-0-00000-0
360,Rol/Estrategia/Destreza,20/03/2009,SPECTRAL FORCE 3,730865900008-0-00000-0
360,Vehiculos,01/01/2006,GRID,767649402106-0-00000-0
WII,Aventura,20/03/2009,SPACE CHIMPS,890181002203-0-00000-0
WII,Aventura,20/03/2009,WARIO LAND SHAKE IT!,045496901172-0-00000-0
360,Aventura,20/03/2009,SPACE CHIMPS,890181002180-0-00000-0
WII,Rol/Estrategia/Destreza,20/03/2009,FINAL FANTASY FABLES CHOCOBOS DUNGEON,662248908106-0-00000-0
PSP,Vehiculos,20/03/2009,R TYPE COMMAND,730865600038-0-00000-0
NDS,Aventura,20/03/2009,SPACE CHIMPS,890181002227-0-00000-0
360,Disparos,NO CONFIRMADO,LOST PLANET EXTREME CONDITION,013388330034-1-00000-0
NDS,Aventura,20/03/2009,KIRBY SUPERSTAR ULTRA,045496739843-0-00000-0
NDS,Accion,20/03/2009,TIME HOLLOW,083717241508-0-00000-0
WII,Musical,20/03/2009,SAMBA DE AMIGO,010086650143-0-00000-0
WII,Disparos,20/03/2009,BROTHERS IN ARMS: ROAD TO HELL,008888173502-0-00000-0
PS3,Disparos,23/09/2008,BROTHERS IN ARMS: HELL'S HIGWAY,008888343400-0-00000-0
360,Disparos,20/03/2009,BROTHERS IN ARMS: HELL'S HIGHWAY,008888523406-0-00000-0
WII,Accion,20/03/2009,PITFALL THE LOST EXPEDITION,047875756915-0-00000-0
PS3,Vehiculos,NO CONFIRMADO,FERRARI CHALLENGE,047875756670-0-00000-0
PS3,Simulacion,20/03/2009,RAPALA FISHING FRENZY,047875755079-0-00000-0
WII,Rol/Estrategia/Destreza,20/03/2009,SIMCITY CREATOR,014633190717-0-00000-0
360,Rol/Estrategia/Destreza,01/01/2006,TALES OF VESPERIA,722674210164-0-00000-0
WII,Aventura,20/03/2009,IGOR,612561100213-0-00000-0
PS3,Vehiculos,22/09/2009,BAJA EDGE OF CONTROL,752919990469-0-00000-0
WII,Rol/Estrategia/Destreza,NO CONFIRMADO,DE BLOB,785138301341-0-00000-0
PSP,Musical,20/03/2009,B-BOY,896992000568-0-00000-0
PSP,Simulacion,20/03/2009,CABELAS LEGENDARY ADVENTURES,047875756618-0-00000-0
PS3,Deportes,12/08/2008,MADDEN 09 COLLECTORS EDITION,014633191097-0-00000-0
WII,Musical,20/03/2009,ROCK BAND SPECIAL EDITION,014633167979-0-00000-0
PS3,Disparos,NO CONFIRMADO,RESISTANCE 2,711719812029-1-00001-1
360,Rol/Estrategia/Destreza,20/03/2009,FALLOUT 3 COLLECTOR'S EDITION,093155128507-0-00000-0
PS3,Rol/Estrategia/Destreza,28/10/2008,FALLOUT 3 COLLECTORS EDITION,093155128408-0-00000-0
PS3,Deportes,NO CONFIRMADO,MADDEN NFL 09 EN ESPAOL,014633191073-0-00000-0
NDS,Aventura,01/01/2006,DRAWN TO LIFE SPONGE BOBS,785138361796-0-00000-0
PS3,Rol/Estrategia/Destreza,20/03/2009,ARMORED CORE FOR ANSWER,008888344629-0-00000-0
NDS,Aventura,20/03/2009,GARFIELDS FUNFEST,802068101510-0-00000-0
WII,Deportes,20/03/2009,ACTIVE LIFE OUTDOOR CHALLENGE,722674800068-0-00000-0
360,Deportes,01/01/2006,NHL 09,014633155822-0-00000-0
PS3,Deportes,NO CONFIRMADO,NHL 09,014633154443-0-00000-0
360,Accion,NO CONFIRMADO,STAR WARS THE FORCE UNLEASHED,023272332761-0-00000-0
WII,Accion,20/03/2009,STAR WARS THE FORCE UNLEASHED,023272332631-0-00000-0
PSP,Accion,20/03/2009,STAR WARS FORCE UNLEASHED,023272332396-0-00000-0
NDS,Accion,20/03/2009,STAR WARS FORCE UNLEASHED,023272332617-0-00000-0
PS3,Accion,NO CONFIRMADO,STAR WARS FORCE UNLEASHED,023272332389-0-00000-0
PS3,Disparos,NO CONFIRMADO,FAR CRY 2,008888344087-0-00000-0
360,Disparos,20/03/2009,FAR CRY 2,008888524083-0-00000-0
PS3,Deportes,NO CONFIRMADO,FIFA SOCCER 09,014633191844-0-00000-0
NDS,Deportes,20/03/2009,FIFA 09,014633153378-0-00000-0
WII,Deportes,20/03/2009,FIFA SOCCER 09,014633191851-0-00000-0
PSP,Deportes,20/03/2009,FIFA SOCCER 09,014633191875-0-00000-0
PS2,Deportes,01/11/2008,FIFA 09,014633191837-0-00000-0
360,Deportes,NO CONFIRMADO,FIFA SOCCER 09,014633191820-0-00000-0
NDS,Simulacion,08/05/2009,VIVA PIÑATA POCKET PARADISE,785138361819-0-00000-0
NDS,Rol/Estrategia/Destreza,08/05/2009,LOCKS QUEST,785138361789-0-00000-0
PS3,Accion,08/05/2009,SAINTS ROW 2 COLLECTORS EDITION,752919990575-0-00000-0
NDS,Rol/Estrategia/Destreza,12/05/2009,MISTERY CASE FILES: MILLIONAIRE HEIR,045496739782-0-00000-0
PSP,Deportes,12/05/2009,NFL STREET 3,014633152241-0-00000-0
PS3,Vehiculos,NO CONFIRMADO,PURE,712725005481-0-00000-0
360,Vehiculos,08/05/2009,PURE,712725005450-0-00000-0
360,Aventura,08/05/2009,VIVA PIÑATA TROUBLE IN PARADISE,882224718585-0-00000-0
PCS,Rol/Estrategia/Destreza,11/05/2009,WORLD OF WARCRAFT 14 DAY TRIAL,7506127505617-0-00000-0
360,Rol/Estrategia/Destreza,01/01/2006,SID MEIERS CIVILIZATION R,710425392399-0-00000-0
360,Deportes,01/01/2006,DON KING PRESENTS: PZFGR,710425393648-0-00000-0
NDS,Accion,12/05/2009,THE MUMMY TOMB OF THE DRAGON EMPEROR,020626727938-0-00000-0
NDS,Rol/Estrategia/Destreza,08/05/2009,IZUNA 2 THE UNENPLOYED NINJA RETURNS,891767001016-0-00000-0
NDS,Rol/Estrategia/Destreza,09/10/2007,FINAL FANTASY 4,662248908113-0-00000-0
NDS,Rol/Estrategia/Destreza,11/05/2009,FINAL FANTASY TACTICS A2: GRIMOIRE OF THE RIFT,662248908069-0-00000-0
NDS,Rol/Estrategia/Destreza,09/06/2009,JAKE HUNTER DETECTIVE CHRONICLES,893610001075-0-00000-0
WII,Accion,12/05/2009,THE MUMMY TOMB OF THE DRAGON EMPEROR,020626727976-0-00000-0
WII,Accion,08/05/2009,CASTLE OF SHIKIGAMI III,893610001105-0-00000-0
360,Rol/Estrategia/Destreza,08/05/2009,OPERATION DARKNESS WORLD WAR II,730865900015-0-00000-0
360,Accion,01/01/2006,THE BOURNE CONSPIRACY,020626726818-0-00000-0
PS3,Accion,NO CONFIRMADO,THE BOURNE CONSPIRACY,020626726795-0-00000-0
WII,Deportes,NO CONFIRMADO,DECA SPORTS,083717400615-0-00000-0
WII,Deportes,NO CONFIRMADO,MARIO SUPER SLUGGERS,045496901165-0-00000-0
360,Rol/Estrategia/Destreza,NO CONFIRMADO,FABLE II,882224711432-0-00000-0
360,Deportes,12/05/2009,TIGER WOODS PGA TOUR 09,014633156010-0-00000-0
WII,Deportes,09/10/2007,TIGER WOODS PGA TOUR 09,014633155464-0-00000-0
PS3,Deportes,12/05/2009,TIGER WOODS PGA TOUR 09,014633154634-0-00000-0
PSP,Deportes,12/05/2009,TIGER WOODS PGA TOUR 09,014633155075-0-00000-0
